year,title,author1,citation
2014,Transparency and Translucency.,Manish Singh 0001,2014Transparency and Translucency.Manish Singh 0001
2014,Image-Based Lighting.,Tien-Tsin Wong,2014Image-Based Lighting.Tien-Tsin Wong
2014,Surface Roughness.,Sylvia C. Pont,2014Surface Roughness.Sylvia C. Pont
2014,Image Registration.,Daniel C. Alexander,2014Image Registration.Daniel C. Alexander
2014,Subspace Methods.,Kazuhiro Fukui,2014Subspace Methods.Kazuhiro Fukui
2014,Multi-camera Human Action Recognition.,Gaurav Srivastava 0004,2014Multi-camera Human Action Recognition.Gaurav Srivastava 0004
2014,Iterative Closest Point (ICP).,Zhengyou Zhang,2014Iterative Closest Point (ICP).Zhengyou Zhang
2014,Simulated Annealing.,Juergen Gall,2014Simulated Annealing.Juergen Gall
2014,Projective Reconstruction.,Richard I. Hartley,2014Projective Reconstruction.Richard I. Hartley
2014,Machine Recognition of Objects.,Tomaso A. Poggio,2014Machine Recognition of Objects.Tomaso A. Poggio
2014,Photometric Invariants.,Todd E. Zickler,2014Photometric Invariants.Todd E. Zickler
2014,Mirrors.,Jürgen Beyerer,2014Mirrors.Jürgen Beyerer
2014,Reflectance Models.,Szymon Rusinkiewicz,2014Reflectance Models.Szymon Rusinkiewicz
2014,Multi-focus Images.,Amit K. Agrawal,2014Multi-focus Images.Amit K. Agrawal
2014,Active Calibration.,Rui Shen 0002,2014Active Calibration.Rui Shen 0002
2014,Texture Recognition.,Matti Pietikäinen,2014Texture Recognition.Matti Pietikäinen
2014,Vignetting.,Amit K. Agrawal,2014Vignetting.Amit K. Agrawal
2014,Photometric Stereo.,Ronen Basri,2014Photometric Stereo.Ronen Basri
2014,Dense Reconstruction.,Christopher Zach,2014Dense Reconstruction.Christopher Zach
2014,Osculating Paraboloids.,Jan J. Koenderink,2014Osculating Paraboloids.Jan J. Koenderink
2014,Intrinsic Images.,Marshall F. Tappen,2014Intrinsic Images.Marshall F. Tappen
2014,Blur Estimation.,Yu-Wing Tai,2014Blur Estimation.Yu-Wing Tai
2014,Light Field.,Shing-Chow Chan,2014Light Field.Shing-Chow Chan
2014,Fisheye Lens.,Peter F. Sturm,2014Fisheye Lens.Peter F. Sturm
2014,Shock Graph.,Sven J. Dickinson,2014Shock Graph.Sven J. Dickinson
2014,Histogram.,Ying Nian Wu,2014Histogram.Ying Nian Wu
2014,Lambertian Reflectance.,Sanjeev J. Koppal,2014Lambertian Reflectance.Sanjeev J. Koppal
2014,Fundamental Matrix.,Zhengyou Zhang,2014Fundamental Matrix.Zhengyou Zhang
2014,Gamut Mapping.,Rajeev Ramanath,2014Gamut Mapping.Rajeev Ramanath
2014,Saturation (Imaging).,Samuel W. Hasinoff,2014Saturation (Imaging).Samuel W. Hasinoff
2014,Color Model.,Shoji Tominaga,2014Color Model.Shoji Tominaga
2014,Face Identification.,Xiaogang Wang 0001,2014Face Identification.Xiaogang Wang 0001
2014,Cognitive Vision.,David Vernon,2014Cognitive Vision.David Vernon
2014,Cross Entropy.,Ying Nian Wu,2014Cross Entropy.Ying Nian Wu
2014,Color Spaces.,Rajeev Ramanath,2014Color Spaces.Rajeev Ramanath
2014,"Specularity, Specular Reflectance.",Robby T. Tan,"2014Specularity, Specular Reflectance.Robby T. Tan"
2014,Scale Selection.,Tony Lindeberg,2014Scale Selection.Tony Lindeberg
2014,Visual Cognition.,David Vernon,2014Visual Cognition.David Vernon
2014,Description Logics.,Bernd Neumann,2014Description Logics.Bernd Neumann
2014,Motion Blur.,Neel Joshi,2014Motion Blur.Neel Joshi
