year,title,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15
2014,Transparency and Translucency.,Manish Singh 0001,,,,,,,,,,,,,,
2014,Image-Based Lighting.,Tien-Tsin Wong,,,,,,,,,,,,,,
2014,Surface Roughness.,Sylvia C. Pont,,,,,,,,,,,,,,
2014,Image Registration.,Daniel C. Alexander,,,,,,,,,,,,,,
2014,Subspace Methods.,Kazuhiro Fukui,,,,,,,,,,,,,,
2014,Multi-camera Human Action Recognition.,Gaurav Srivastava 0004,Johnny Park,Avinash C. Kak,Birgi Tamersoy,J. K. Aggarwal,,,,,,,,,,
2014,Iterative Closest Point (ICP).,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Simulated Annealing.,Juergen Gall,,,,,,,,,,,,,,
2014,Projective Reconstruction.,Richard I. Hartley,,,,,,,,,,,,,,
2014,Machine Recognition of Objects.,Tomaso A. Poggio,Shimon Ullman,,,,,,,,,,,,,
2014,Photometric Invariants.,Todd E. Zickler,,,,,,,,,,,,,,
2014,Mirrors.,Jürgen Beyerer,,,,,,,,,,,,,,
2014,Reflectance Models.,Szymon Rusinkiewicz,,,,,,,,,,,,,,
2014,Multi-focus Images.,Amit K. Agrawal,,,,,,,,,,,,,,
2014,Active Calibration.,Rui Shen 0002,Gaopeng Gou,Irene Cheng 0001,Anup Basu,,,,,,,,,,,
2014,Texture Recognition.,Matti Pietikäinen,,,,,,,,,,,,,,
2014,Vignetting.,Amit K. Agrawal,,,,,,,,,,,,,,
2014,Photometric Stereo.,Ronen Basri,,,,,,,,,,,,,,
2014,Dense Reconstruction.,Christopher Zach,,,,,,,,,,,,,,
2014,Osculating Paraboloids.,Jan J. Koenderink,,,,,,,,,,,,,,
2014,Intrinsic Images.,Marshall F. Tappen,,,,,,,,,,,,,,
2014,Blur Estimation.,Yu-Wing Tai,,,,,,,,,,,,,,
2014,Light Field.,Shing-Chow Chan,,,,,,,,,,,,,,
2014,Fisheye Lens.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Shock Graph.,Sven J. Dickinson,Ali Shokoufandeh,Kaleem Siddiqi,,,,,,,,,,,,
2014,Histogram.,Ying Nian Wu,,,,,,,,,,,,,,
2014,Lambertian Reflectance.,Sanjeev J. Koppal,,,,,,,,,,,,,,
2014,Fundamental Matrix.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Gamut Mapping.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Saturation (Imaging).,Samuel W. Hasinoff,,,,,,,,,,,,,,
2014,Color Model.,Shoji Tominaga,,,,,,,,,,,,,,
2014,Face Identification.,Xiaogang Wang 0001,,,,,,,,,,,,,,
2014,Cognitive Vision.,David Vernon,,,,,,,,,,,,,,
2014,Cross Entropy.,Ying Nian Wu,,,,,,,,,,,,,,
2014,Color Spaces.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,"Specularity, Specular Reflectance.",Robby T. Tan,,,,,,,,,,,,,,
2014,Scale Selection.,Tony Lindeberg,,,,,,,,,,,,,,
2014,Visual Cognition.,David Vernon,,,,,,,,,,,,,,
2014,Description Logics.,Bernd Neumann,,,,,,,,,,,,,,
2014,Motion Blur.,Neel Joshi,,,,,,,,,,,,,,
2014,Depth Estimation.,Reinhard Koch,,,,,,,,,,,,,,
2014,Exploration: Simultaneous Localization and Mapping (SLAM).,Samunda Perera,Nick Barnes,Alexander Zelinsky,,,,,,,,,,,,
2014,Radiance.,Fabian Langguth,Michael Goesele,,,,,,,,,,,,,
2014,Affordances and Action Recognition.,James Bonaiuto,,,,,,,,,,,,,,
2014,"Camera Parameters (Intrinsic, Extrinsic).",Zhengyou Zhang,,,,,,,,,,,,,,
2014,Planckian Locus.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Statistical Independence.,Ying Nian Wu,,,,,,,,,,,,,,
2014,Factorization.,Hanno Ackermann,,,,,,,,,,,,,,
2014,Visual Servoing.,François Chaumette,,,,,,,,,,,,,,
2014,Affine Projection.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Statistical Shape Analysis.,Anuj Srivastava,Sebastian Kurtek,Eric Klassen,,,,,,,,,,,,
2014,Corner Detection.,Michael Maire,,,,,,,,,,,,,,
2014,Dimensionality Reduction.,Eisaku Maeda,,,,,,,,,,,,,,
2014,Polarized Light in Computer Vision.,Gary A. Atkinson,,,,,,,,,,,,,,
2014,Cognitive System.,David Vernon,,,,,,,,,,,,,,
2014,Differential Geometry of Surfaces in Three-Dimensional Euclidean Space.,Jan J. Koenderink,,,,,,,,,,,,,,
2014,Mobile Observers.,Jan-Olof Eklundh,,,,,,,,,,,,,,
2014,Image-Based Modeling.,Ping Tan,,,,,,,,,,,,,,
2014,Inpainting.,Marcelo Bertalmío,Vicent Caselles,Simon Masnou,Guillermo Sapiro,,,,,,,,,,,
2014,Image Enhancement and Restoration.,Guoshen Yu,Guillermo Sapiro,,,,,,,,,,,,,
2014,Euclidean Geometry.,Gunnar Sparr,,,,,,,,,,,,,,
2014,Linear Programming.,Kazuo Murota,,,,,,,,,,,,,,
2014,Image Decompositions.,Marshall F. Tappen,,,,,,,,,,,,,,
2014,Shape from Silhouette.,David C. Schneider,,,,,,,,,,,,,,
2014,Sparse Coding.,John Wright 0001,,,,,,,,,,,,,,
2014,Catadioptric Camera.,Srikumar Ramalingam,,,,,,,,,,,,,,
2014,Object Detection.,Yali Amit,Pedro F. Felzenszwalb,,,,,,,,,,,,,
2014,Gait Recognition.,Darko S. Matovski,Mark S. Nixon,John N. Carter,,,,,,,,,,,,
2014,Calibration of a Non-single Viewpoint System.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Maximum Likelihood Estimation.,Thomas Brox,,,,,,,,,,,,,,
2014,Perspective Transformation.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Occlusion Handling.,Rodrigo Benenson,,,,,,,,,,,,,,
2014,Shape from Specularities.,Silvio Savarese,,,,,,,,,,,,,,
2014,Discriminative Random Fields.,Sanjiv Kumar,,,,,,,,,,,,,,
2014,Gesture Recognition.,Matthew Turk 0001,,,,,,,,,,,,,,
2014,Kinematic Motion Models.,Christoph Bregler,,,,,,,,,,,,,,
2014,Fluorescent Lighting.,Stephen Lin 0001,,,,,,,,,,,,,,
2014,Field of View.,Srikumar Ramalingam,,,,,,,,,,,,,,
2014,Image Plane.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Deblurring.,Yu-Wing Tai,,,,,,,,,,,,,,
2014,Video Mosaicing.,Zhigang Zhu,,,,,,,,,,,,,,
2014,Intrinsics.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Bas-Relief Ambiguity.,Manmohan Chandraker,,,,,,,,,,,,,,
2014,Semantic Image Segmentation.,Jamie Shotton,Pushmeet Kohli,,,,,,,,,,,,,
2014,"Photon, Poisson Noise.",Samuel W. Hasinoff,,,,,,,,,,,,,,
2014,Swendsen-Wang Cut Algorithm.,Adrian Barbu,,,,,,,,,,,,,,
2014,Line Drawing Labeling.,Kokichi Sugihara,,,,,,,,,,,,,,
2014,Recovery of Reflectance Properties.,Jason Lawrence,,,,,,,,,,,,,,
2014,Model-Based Object Recognition.,Min Sun 0001,Silvio Savarese,,,,,,,,,,,,,
2014,Boundary Detection.,Xiaofeng Ren,,,,,,,,,,,,,,
2014,"Geodesics, Distance Maps, and Curve Evolution.",Ron Kimmel,,,,,,,,,,,,,,
2014,Bidirectional Texture Function and 3D Texture.,Kristin J. Dana,,,,,,,,,,,,,,
