second,minute,hour,noise_num,noise_code,noise_addr,noise_ts
10,20,21,97180361,b7x6625c,4857 walnut avenue,"Wed, 17 Feb 2001 21:20:10 +0000"
42,40,03,22477350,88aenn1gn81e,2520 main lane,"Sat, 11 Jan 2000 03:40:42 +0000"
13,15,12,9841184,lq9eoq,6679 park lane,"Sat, 13 Jul 2008 12:15:13 +0000"
12,59,10,2277067,h8aecew6g,4749 high road,"Fri, 03 May 2022 10:59:12 +0000"
44,44,11,58753898,zb4k8oiz8,4833 church avenue,"Wed, 22 Dec 2018 11:44:44 +0000"
04,58,04,50090729,99jhca,9384 river lane,"Fri, 18 Feb 2007 04:58:04 +0000"
04,44,05,28202821,wn06jkloqmh,2972 church drive,"Sun, 02 Sep 2012 05:44:04 +0000"
21,54,15,86536748,eseqgm5vwi,3843 oak road,"Fri, 03 Apr 2008 15:54:21 +0000"
29,16,23,65221190,vtjxu1kau,4034 high avenue,"Sat, 24 Nov 2011 23:16:29 +0000"
18,44,17,37145338,xiv432wt59gl,9939 oak road,"Sun, 27 Mar 2026 17:44:18 +0000"
09,38,23,72302089,qeeb6bz,9668 maple street,"Fri, 09 Sep 2026 23:38:09 +0000"
06,33,11,72444236,jxzosi366,1484 park road,"Fri, 01 Nov 2005 11:33:06 +0000"
33,20,06,82424513,k6i2klj4wco,7990 maple street,"Wed, 12 Apr 1999 06:20:33 +0000"
39,27,20,89746040,7xy43cc,5310 oak drive,"Sat, 27 May 2024 20:27:39 +0000"
40,20,22,99587435,8lyyxe7q,6166 walnut avenue,"Fri, 13 Jun 2024 22:20:40 +0000"
29,59,12,46319454,4a6i2koe6,4601 maple avenue,"Tue, 06 Jun 2017 12:59:29 +0000"
40,07,08,96284739,ho0vh444nk0b,3993 main avenue,"Fri, 19 Mar 2002 08:07:40 +0000"
34,26,21,84505485,cjdkql7zbs,1405 maple lane,"Fri, 16 Aug 2003 21:26:34 +0000"
03,23,06,29452512,0jl6qkv3eoyy,2167 oak street,"Tue, 17 Sep 2019 06:23:03 +0000"
35,46,13,56353932,jgl4c86hf4i8,20 walnut lane,"Fri, 14 Jun 2025 13:46:35 +0000"
15,10,11,5840187,71o4ywg1iq4,3810 walnut street,"Wed, 20 Sep 2011 11:10:15 +0000"
22,43,10,34611998,aa7h7ay,3366 spring road,"Thu, 12 Feb 2002 10:43:22 +0000"
11,38,04,57196360,qq81xrzn099,7905 pine road,"Fri, 18 Aug 2006 04:38:11 +0000"
